date,open,high,low,close,volume,change_percent,avg_vol_20d,daily_middle,dayNumber,year,is_quarter_end,Moving5DayClose,Moving10DayClose,Moving20DayClose,all_time_high,yearly_max_to_date,yearly_min_to_date,yearly_avg_to_date,monthly_max_to_date,monthly_min_to_date,monthly_avg_to_date,cumulativechange,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1986-01-27,130.205,130.985,129.795,130.795,221000000,0.46,215057000.0,130.39,27,1986,0,130.194,130.91199999999998,130.8465,133.885,133.885,128.055,130.7413888888889,133.885,128.055,130.7413888888889,1.5199999999999534,2.0,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-28,130.795,132.045,130.67,131.99,230800000,0.91,217315000.0,131.3575,28,1986,0,130.374,131.19299999999998,130.84875,133.885,133.885,128.055,130.7738157894737,133.885,128.055,130.7738157894737,2.714999999999975,3.0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-29,131.99,134.13,131.99,133.06,264200000,0.81,219255000.0,133.06,29,1986,0,131.06300000000002,131.34550000000002,130.887,134.13,134.13,128.055,130.888125,134.13,128.055,130.888125,3.784999999999968,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-30,133.06,133.16,132.085,132.19,218000000,-0.65,222574000.0,132.6225,30,1986,0,131.647,131.25849999999997,130.93375,134.13,134.13,128.055,130.9707142857143,134.13,128.055,130.9707142857143,-0.8700000000000045,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-01-31,132.19,133.22,132.03,132.925,218600000,0.56,224586000.0,132.625,31,1986,0,132.192,131.274,131.0525,134.13,134.13,128.055,131.0459090909091,134.13,128.055,131.0459090909091,0.7350000000000136,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-03,132.925,134.425,132.925,134.24,215200000,0.99,225422000.0,133.675,3,1986,0,132.88100000000003,131.53750000000002,131.24675,134.425,134.425,128.055,131.16021739130437,134.425,132.925,133.675,2.0500000000000114,2.0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-04,134.24,135.69,134.24,134.6,250600000,0.27,225202000.0,134.965,4,1986,0,133.40300000000002,131.8885,131.33724999999998,135.69,135.69,128.055,131.31875,135.69,132.925,134.32,2.4099999999999966,3.0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-05,134.6,135.79,134.6,135.715,210600000,0.83,221732000.0,135.195,5,1986,0,133.934,132.49849999999998,131.565,135.79,135.79,128.055,131.4738,135.79,132.925,134.61166666666665,3.5250000000000057,4.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-06,135.715,136.94,135.565,136.64,239400000,0.68,221762000.0,136.2525,6,1986,0,134.824,133.2355,131.957,136.94,136.94,128.055,131.65759615384616,136.94,132.925,135.021875,4.449999999999989,5.0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-07,136.47,137.485,135.745,137.42,222200000,0.57,223022000.0,136.615,7,1986,0,135.723,133.95749999999998,132.34975,137.485,137.485,128.055,131.8412037037037,137.485,132.925,135.3405,5.399999999999977,6.0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-10,137.4,138.245,137.305,138.125,214800000,0.51,224813000.0,137.775,10,1986,0,136.5,134.69050000000001,132.80125,138.245,138.245,128.055,132.05312500000002,138.245,132.925,135.74625,6.124999999999972,7.0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-11,138.125,138.61,137.85,138.26,226600000,0.1,225853000.0,138.23000000000002,11,1986,0,137.23200000000003,135.31750000000002,133.25525,138.61,138.61,128.055,132.2661206896552,138.61,132.925,136.10107142857143,6.2599999999999625,8.0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-12,138.26,138.765,138.035,138.665,244400000,0.29,226203000.0,138.39999999999998,12,1986,0,137.822,135.878,133.61175,138.765,138.765,128.055,132.47058333333337,138.765,132.925,136.3884375,6.664999999999964,9.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-13,138.665,139.295,138.45,139.165,257200000,0.36,226673000.0,138.8725,13,1986,0,138.327,136.5755,133.917,139.295,139.295,128.055,132.67709677419356,139.295,132.925,136.66444444444446,7.164999999999964,10.0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-14,139.165,140.63,139.165,140.16,244800000,0.71,227633000.0,139.89749999999998,14,1986,0,138.87499999999997,137.29899999999998,134.2865,140.63,140.63,128.055,132.902734375,140.63,132.925,136.98775,8.159999999999968,11.0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1.0
1986-02-18,140.16,140.765,139.985,140.735,252000000,0.41,231290000.0,140.375,18,1986,0,139.397,137.9485,134.743,140.765,140.765,128.055,133.12916666666666,140.765,132.925,137.29568181818183,8.734999999999985,12.0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
1986-02-19,140.735,140.92,139.585,139.64,273800000,-0.78,233910000.0,140.2525,19,1986,0,139.67299999999997,138.4525,135.1705,140.92,140.92,128.055,133.3386764705882,140.92,132.925,137.54208333333335,-1.0950000000000273,1.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
